Index,Order ID,Cust ID,Gender,Age,Age Group,Date,Month,Status,Channel,SKU,Category,Size,Qty,Currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,ORD00001,CUST00001,Female,56,50+,2024-07-21,July,Cancelled,Retail,SKU0001,Beauty,L,4,INR,2583,Mumbai,Rajasthan,807433,India,Yes
2,ORD00002,CUST00002,Female,41,36-50,2024-02-12,February,Returned,Retail,SKU0002,Home,M,1,INR,2409,Delhi,Rajasthan,796570,India,No
3,ORD00003,CUST00003,Female,45,36-50,2024-10-09,October,Returned,App,SKU0003,Electronics,S,2,INR,2021,Mumbai,Madhya Pradesh,872109,India,No
4,ORD00004,CUST00004,Female,32,26-35,2024-07-28,July,Delivered,Online,SKU0004,Beauty,S,2,INR,4357,Delhi,Rajasthan,406323,India,Yes
5,ORD00005,CUST00005,Female,34,26-35,2024-08-03,August,Cancelled,Retail,SKU0005,Beauty,XL,4,INR,3445,Delhi,Madhya Pradesh,695920,India,Yes
6,ORD00006,CUST00006,Female,28,26-35,2024-03-10,March,Delivered,Online,SKU0006,Home,S,5,INR,4305,Bhopal,Rajasthan,337709,India,No
7,ORD00007,CUST00007,Female,26,26-35,2024-10-13,October,Delivered,Retail,SKU0007,Clothing,M,1,INR,584,Jaipur,Madhya Pradesh,940286,India,Yes
8,ORD00008,CUST00008,Male,27,26-35,2024-08-29,August,Shipped,Retail,SKU0008,Electronics,S,5,INR,2029,Bhopal,Rajasthan,403783,India,No
9,ORD00009,CUST00009,Male,22,18-25,2024-08-28,August,Returned,App,SKU0009,Beauty,M,5,INR,1565,Jaipur,Madhya Pradesh,704581,India,Yes
10,ORD00010,CUST00010,Female,39,36-50,2024-09-02,September,Shipped,Retail,SKU0010,Home,S,4,INR,4590,Indore,Rajasthan,867564,India,Yes
11,ORD00011,CUST00011,Male,43,36-50,2024-08-29,August,Returned,Online,SKU0011,Home,M,1,INR,4281,Bhopal,Madhya Pradesh,324798,India,No
12,ORD00012,CUST00012,Male,38,36-50,2024-04-24,April,Returned,Retail,SKU0012,Home,M,4,INR,2559,Mumbai,Maharashtra,569206,India,Yes
13,ORD00013,CUST00013,Male,51,50+,2024-03-22,March,Shipped,Retail,SKU0013,Electronics,M,2,INR,2484,Delhi,Delhi,955296,India,No
14,ORD00014,CUST00014,Female,58,50+,2024-04-26,April,Returned,App,SKU0014,Clothing,XL,3,INR,4910,Bhopal,Delhi,907170,India,Yes
15,ORD00015,CUST00015,Female,19,18-25,2024-07-11,July,Returned,Online,SKU0015,Home,M,3,INR,4100,Jaipur,Maharashtra,313463,India,No
16,ORD00016,CUST00016,Male,24,18-25,2024-01-27,January,Delivered,Online,SKU0016,Home,M,1,INR,2202,Delhi,Rajasthan,330879,India,Yes
17,ORD00017,CUST00017,Female,56,50+,2024-03-12,March,Returned,Online,SKU0017,Beauty,XL,2,INR,1293,Delhi,Rajasthan,652175,India,No
18,ORD00018,CUST00018,Female,36,36-50,2024-02-18,February,Shipped,App,SKU0018,Home,S,4,INR,2325,Mumbai,Delhi,642772,India,Yes
19,ORD00019,CUST00019,Male,48,36-50,2024-11-22,November,Cancelled,App,SKU0019,Home,XL,2,INR,4964,Delhi,Delhi,414225,India,No
20,ORD00020,CUST00020,Male,31,26-35,2024-04-08,April,Shipped,Retail,SKU0020,Clothing,L,2,INR,3427,Delhi,Delhi,940888,India,Yes
21,ORD00021,CUST00021,Male,50,36-50,2024-06-24,June,Delivered,Retail,SKU0021,Electronics,L,4,INR,2364,Delhi,Madhya Pradesh,199672,India,Yes
22,ORD00022,CUST00022,Male,46,36-50,2024-06-30,June,Delivered,Retail,SKU0022,Clothing,XL,1,INR,2649,Delhi,Delhi,995530,India,No
23,ORD00023,CUST00023,Female,44,36-50,2024-01-22,January,Cancelled,Online,SKU0023,Beauty,M,2,INR,3214,Mumbai,Madhya Pradesh,498971,India,No
24,ORD00024,CUST00024,Male,27,26-35,2024-11-26,November,Returned,Online,SKU0024,Clothing,L,4,INR,1436,Mumbai,Madhya Pradesh,540301,India,Yes
25,ORD00025,CUST00025,Female,23,18-25,2024-03-13,March,Cancelled,Online,SKU0025,Beauty,XL,2,INR,324,Indore,Delhi,675623,India,No
26,ORD00026,CUST00026,Female,27,26-35,2024-04-06,April,Shipped,App,SKU0026,Clothing,XL,3,INR,2113,Indore,Maharashtra,987462,India,No
27,ORD00027,CUST00027,Female,33,26-35,2024-06-02,June,Returned,App,SKU0027,Beauty,M,5,INR,292,Delhi,Rajasthan,363632,India,Yes
28,ORD00028,CUST00028,Male,31,26-35,2024-01-09,January,Delivered,Online,SKU0028,Clothing,L,1,INR,484,Jaipur,Madhya Pradesh,966750,India,No
29,ORD00029,CUST00029,Male,28,26-35,2024-02-05,February,Returned,App,SKU0029,Electronics,XL,1,INR,5000,Bhopal,Maharashtra,531061,India,No
30,ORD00030,CUST00030,Female,26,26-35,2024-12-18,December,Delivered,Online,SKU0030,Beauty,M,2,INR,1829,Mumbai,Madhya Pradesh,184778,India,No
31,ORD00031,CUST00031,Male,37,36-50,2024-09-26,September,Cancelled,Retail,SKU0031,Clothing,M,5,INR,3773,Indore,Madhya Pradesh,515272,India,No
32,ORD00032,CUST00032,Male,29,26-35,2024-12-11,December,Cancelled,Online,SKU0032,Beauty,L,2,INR,3474,Jaipur,Rajasthan,741897,India,No
33,ORD00033,CUST00033,Female,26,26-35,2024-05-09,May,Delivered,App,SKU0033,Beauty,L,4,INR,3983,Delhi,Delhi,628692,India,No
34,ORD00034,CUST00034,Female,51,50+,2024-10-03,October,Delivered,App,SKU0034,Home,M,2,INR,786,Indore,Madhya Pradesh,642088,India,Yes
35,ORD00035,CUST00035,Male,53,50+,2024-01-02,January,Cancelled,Retail,SKU0035,Beauty,L,1,INR,4125,Delhi,Madhya Pradesh,675845,India,No
36,ORD00036,CUST00036,Male,27,26-35,2024-11-12,November,Shipped,App,SKU0036,Clothing,S,4,INR,2676,Delhi,Rajasthan,117316,India,No
37,ORD00037,CUST00037,Male,43,36-50,2024-09-24,September,Returned,Online,SKU0037,Electronics,L,5,INR,3814,Bhopal,Delhi,482088,India,No
38,ORD00038,CUST00038,Female,57,50+,2024-03-17,March,Shipped,Online,SKU0038,Electronics,XL,3,INR,4717,Bhopal,Maharashtra,523641,India,No
39,ORD00039,CUST00039,Male,59,50+,2024-03-27,March,Cancelled,Retail,SKU0039,Home,L,3,INR,2098,Indore,Delhi,767152,India,Yes
40,ORD00040,CUST00040,Female,42,36-50,2024-02-04,February,Shipped,Online,SKU0040,Home,M,2,INR,2263,Delhi,Rajasthan,914553,India,No
41,ORD00041,CUST00041,Female,29,26-35,2024-11-12,November,Delivered,Online,SKU0041,Beauty,M,4,INR,1516,Indore,Madhya Pradesh,442896,India,No
42,ORD00042,CUST00042,Female,46,36-50,2024-09-01,September,Cancelled,Online,SKU0042,Clothing,S,5,INR,3566,Indore,Maharashtra,946578,India,No
43,ORD00043,CUST00043,Female,55,50+,2024-09-09,September,Shipped,App,SKU0043,Home,M,3,INR,2488,Delhi,Delhi,902321,India,Yes
44,ORD00044,CUST00044,Female,50,36-50,2024-11-13,November,Shipped,Retail,SKU0044,Home,S,4,INR,4098,Jaipur,Rajasthan,239005,India,Yes
45,ORD00045,CUST00045,Female,53,50+,2024-01-28,January,Cancelled,Online,SKU0045,Beauty,S,1,INR,4677,Delhi,Delhi,172006,India,Yes
46,ORD00046,CUST00046,Female,18,18-25,2024-09-22,September,Shipped,App,SKU0046,Beauty,S,1,INR,4809,Bhopal,Madhya Pradesh,624153,India,No
47,ORD00047,CUST00047,Male,35,26-35,2024-05-16,May,Shipped,Online,SKU0047,Electronics,M,3,INR,4188,Mumbai,Rajasthan,627513,India,No
48,ORD00048,CUST00048,Female,30,26-35,2024-06-10,June,Cancelled,Online,SKU0048,Home,L,4,INR,1907,Bhopal,Rajasthan,313786,India,No
49,ORD00049,CUST00049,Male,47,36-50,2024-04-10,April,Returned,Online,SKU0049,Electronics,L,5,INR,4762,Delhi,Delhi,515748,India,Yes
50,ORD00050,CUST00050,Female,19,18-25,2024-07-26,July,Cancelled,App,SKU0050,Home,L,1,INR,4115,Indore,Madhya Pradesh,515972,India,No
51,ORD00051,CUST00051,Female,53,50+,2024-01-17,January,Returned,App,SKU0051,Electronics,XL,2,INR,1588,Mumbai,Rajasthan,515135,India,Yes
52,ORD00052,CUST00052,Male,22,18-25,2024-12-13,December,Shipped,Online,SKU0052,Beauty,S,4,INR,775,Indore,Delhi,992925,India,Yes
53,ORD00053,CUST00053,Male,35,26-35,2024-05-17,May,Shipped,Retail,SKU0053,Clothing,M,2,INR,251,Mumbai,Maharashtra,274918,India,Yes
54,ORD00054,CUST00054,Female,54,50+,2024-09-04,September,Delivered,App,SKU0054,Electronics,L,2,INR,1878,Jaipur,Delhi,347481,India,No
55,ORD00055,CUST00055,Female,25,18-25,2024-09-14,September,Shipped,App,SKU0055,Clothing,L,3,INR,193,Indore,Maharashtra,438207,India,Yes
56,ORD00056,CUST00056,Male,35,26-35,2024-05-12,May,Shipped,Retail,SKU0056,Clothing,L,4,INR,3611,Delhi,Delhi,978147,India,No
57,ORD00057,CUST00057,Female,58,50+,2024-05-06,May,Delivered,Retail,SKU0057,Beauty,S,3,INR,2119,Bhopal,Madhya Pradesh,125655,India,Yes
58,ORD00058,CUST00058,Female,59,50+,2024-12-30,December,Cancelled,Retail,SKU0058,Clothing,S,5,INR,3994,Delhi,Maharashtra,204735,India,No
59,ORD00059,CUST00059,Male,48,36-50,2024-03-07,March,Shipped,App,SKU0059,Home,M,4,INR,3800,Delhi,Maharashtra,137304,India,Yes
60,ORD00060,CUST00060,Female,28,26-35,2024-03-30,March,Returned,Online,SKU0060,Home,L,2,INR,581,Delhi,Madhya Pradesh,957765,India,No
61,ORD00061,CUST00061,Female,45,36-50,2024-02-08,February,Shipped,App,SKU0061,Clothing,L,5,INR,2316,Bhopal,Rajasthan,419692,India,No
62,ORD00062,CUST00062,Female,34,26-35,2024-06-15,June,Shipped,App,SKU0062,Home,M,2,INR,494,Mumbai,Maharashtra,820399,India,Yes
63,ORD00063,CUST00063,Female,28,26-35,2024-09-21,September,Cancelled,App,SKU0063,Electronics,XL,1,INR,4452,Jaipur,Rajasthan,260767,India,Yes
64,ORD00064,CUST00064,Female,24,18-25,2024-10-16,October,Returned,Retail,SKU0064,Beauty,S,3,INR,930,Jaipur,Delhi,747311,India,No
65,ORD00065,CUST00065,Female,60,50+,2024-11-26,November,Returned,App,SKU0065,Electronics,L,4,INR,2443,Indore,Madhya Pradesh,889335,India,Yes
66,ORD00066,CUST00066,Male,29,26-35,2024-04-13,April,Delivered,Online,SKU0066,Beauty,L,5,INR,205,Bhopal,Delhi,713282,India,Yes
67,ORD00067,CUST00067,Male,43,36-50,2024-04-23,April,Cancelled,Retail,SKU0067,Clothing,M,4,INR,809,Bhopal,Madhya Pradesh,445782,India,Yes
68,ORD00068,CUST00068,Male,42,36-50,2024-05-16,May,Cancelled,Online,SKU0068,Beauty,S,4,INR,1418,Jaipur,Madhya Pradesh,228059,India,No
69,ORD00069,CUST00069,Male,59,50+,2024-11-10,November,Returned,App,SKU0069,Clothing,L,4,INR,4529,Indore,Delhi,392198,India,Yes
70,ORD00070,CUST00070,Female,54,50+,2024-02-10,February,Cancelled,Retail,SKU0070,Home,S,4,INR,4796,Jaipur,Rajasthan,800133,India,Yes
71,ORD00071,CUST00071,Female,45,36-50,2024-07-27,July,Returned,App,SKU0071,Beauty,XL,1,INR,1356,Bhopal,Delhi,644772,India,Yes
72,ORD00072,CUST00072,Male,47,36-50,2024-07-31,July,Shipped,App,SKU0072,Electronics,XL,3,INR,1598,Bhopal,Maharashtra,713956,India,Yes
73,ORD00073,CUST00073,Male,41,36-50,2024-11-02,November,Returned,Retail,SKU0073,Beauty,M,4,INR,4313,Bhopal,Delhi,678595,India,Yes
74,ORD00074,CUST00074,Female,52,50+,2024-10-31,October,Cancelled,App,SKU0074,Beauty,M,4,INR,3503,Mumbai,Delhi,997075,India,No
75,ORD00075,CUST00075,Male,54,50+,2024-11-10,November,Shipped,Retail,SKU0075,Home,L,2,INR,1466,Indore,Madhya Pradesh,468960,India,No
76,ORD00076,CUST00076,Male,45,36-50,2024-08-26,August,Delivered,App,SKU0076,Beauty,L,3,INR,254,Jaipur,Maharashtra,216766,India,Yes
77,ORD00077,CUST00077,Male,26,26-35,2024-07-28,July,Shipped,App,SKU0077,Clothing,S,3,INR,1195,Mumbai,Maharashtra,720609,India,Yes
78,ORD00078,CUST00078,Female,47,36-50,2024-02-17,February,Delivered,Retail,SKU0078,Home,XL,3,INR,771,Delhi,Madhya Pradesh,839025,India,Yes
79,ORD00079,CUST00079,Male,42,36-50,2024-07-14,July,Shipped,Retail,SKU0079,Beauty,M,5,INR,811,Mumbai,Madhya Pradesh,736322,India,No
80,ORD00080,CUST00080,Female,44,36-50,2024-01-21,January,Shipped,Online,SKU0080,Clothing,S,4,INR,1513,Indore,Delhi,427824,India,Yes
81,ORD00081,CUST00081,Male,50,36-50,2024-03-31,March,Cancelled,Online,SKU0081,Clothing,S,5,INR,2861,Jaipur,Delhi,901946,India,No
82,ORD00082,CUST00082,Male,40,36-50,2024-05-15,May,Delivered,Online,SKU0082,Electronics,XL,1,INR,2426,Mumbai,Rajasthan,397100,India,No
83,ORD00083,CUST00083,Female,28,26-35,2024-06-28,June,Cancelled,App,SKU0083,Beauty,L,1,INR,3150,Indore,Delhi,780186,India,Yes
84,ORD00084,CUST00084,Female,37,36-50,2024-11-23,November,Returned,App,SKU0084,Clothing,L,5,INR,2199,Indore,Madhya Pradesh,147527,India,No
85,ORD00085,CUST00085,Female,19,18-25,2024-06-19,June,Returned,Online,SKU0085,Beauty,S,5,INR,948,Jaipur,Rajasthan,338531,India,No
86,ORD00086,CUST00086,Female,38,36-50,2024-07-27,July,Delivered,Retail,SKU0086,Beauty,M,3,INR,2165,Indore,Rajasthan,989467,India,No
87,ORD00087,CUST00087,Female,21,18-25,2024-10-17,October,Returned,Retail,SKU0087,Beauty,M,2,INR,2445,Indore,Maharashtra,828263,India,Yes
88,ORD00088,CUST00088,Female,53,50+,2024-09-04,September,Cancelled,Online,SKU0088,Beauty,S,4,INR,4277,Indore,Madhya Pradesh,900218,India,Yes
89,ORD00089,CUST00089,Male,51,50+,2024-05-25,May,Delivered,App,SKU0089,Beauty,XL,4,INR,1460,Mumbai,Rajasthan,142040,India,No
90,ORD00090,CUST00090,Male,49,36-50,2024-06-15,June,Delivered,App,SKU0090,Electronics,L,2,INR,1768,Indore,Rajasthan,207584,India,Yes
91,ORD00091,CUST00091,Male,58,50+,2024-09-23,September,Delivered,Retail,SKU0091,Clothing,M,3,INR,2676,Indore,Madhya Pradesh,204694,India,No
92,ORD00092,CUST00092,Female,20,18-25,2024-03-08,March,Cancelled,Online,SKU0092,Clothing,XL,3,INR,1301,Bhopal,Madhya Pradesh,797786,India,Yes
93,ORD00093,CUST00093,Female,46,36-50,2024-12-15,December,Shipped,Online,SKU0093,Clothing,XL,2,INR,3948,Bhopal,Rajasthan,453543,India,Yes
94,ORD00094,CUST00094,Female,51,50+,2024-01-14,January,Cancelled,Online,SKU0094,Clothing,M,2,INR,2142,Delhi,Madhya Pradesh,838661,India,Yes
95,ORD00095,CUST00095,Female,28,26-35,2024-10-08,October,Returned,Retail,SKU0095,Clothing,L,1,INR,2967,Indore,Rajasthan,167832,India,No
96,ORD00096,CUST00096,Male,54,50+,2024-12-30,December,Shipped,App,SKU0096,Home,L,5,INR,3479,Indore,Delhi,734579,India,Yes
97,ORD00097,CUST00097,Male,43,36-50,2024-07-25,July,Shipped,App,SKU0097,Electronics,L,3,INR,4492,Indore,Madhya Pradesh,848722,India,Yes
98,ORD00098,CUST00098,Male,57,50+,2024-07-13,July,Shipped,Retail,SKU0098,Home,S,5,INR,3287,Mumbai,Delhi,135821,India,Yes
99,ORD00099,CUST00099,Male,23,18-25,2024-03-01,March,Delivered,Online,SKU0099,Home,L,5,INR,1956,Jaipur,Madhya Pradesh,671351,India,Yes
100,ORD00100,CUST00100,Female,43,36-50,2024-07-05,July,Delivered,Retail,SKU0100,Clothing,M,2,INR,4954,Bhopal,Rajasthan,971553,India,Yes
101,ORD00101,CUST00101,Female,59,50+,2024-11-23,November,Cancelled,App,SKU0101,Clothing,S,3,INR,254,Indore,Maharashtra,317109,India,Yes
102,ORD00102,CUST00102,Female,59,50+,2024-09-19,September,Cancelled,Online,SKU0102,Clothing,M,3,INR,2070,Jaipur,Maharashtra,713936,India,Yes
103,ORD00103,CUST00103,Male,20,18-25,2024-07-12,July,Delivered,App,SKU0103,Home,S,5,INR,3578,Jaipur,Delhi,656414,India,Yes
104,ORD00104,CUST00104,Male,38,36-50,2024-04-02,April,Shipped,App,SKU0104,Home,L,2,INR,885,Mumbai,Madhya Pradesh,972426,India,Yes
105,ORD00105,CUST00105,Female,44,36-50,2024-10-04,October,Cancelled,Online,SKU0105,Clothing,XL,5,INR,2191,Delhi,Madhya Pradesh,373931,India,No
106,ORD00106,CUST00106,Female,59,50+,2024-07-20,July,Returned,Online,SKU0106,Clothing,XL,3,INR,4186,Jaipur,Maharashtra,360560,India,Yes
107,ORD00107,CUST00107,Male,37,36-50,2024-02-05,February,Delivered,App,SKU0107,Beauty,XL,5,INR,1294,Mumbai,Delhi,670773,India,No
108,ORD00108,CUST00108,Male,33,26-35,2024-05-14,May,Shipped,App,SKU0108,Electronics,L,5,INR,4772,Bhopal,Maharashtra,913524,India,Yes
109,ORD00109,CUST00109,Female,36,36-50,2024-02-26,February,Returned,App,SKU0109,Beauty,S,4,INR,4509,Delhi,Rajasthan,235197,India,No
110,ORD00110,CUST00110,Female,20,18-25,2024-10-31,October,Delivered,App,SKU0110,Home,L,4,INR,3881,Indore,Maharashtra,274111,India,Yes
111,ORD00111,CUST00111,Female,54,50+,2024-10-22,October,Cancelled,Online,SKU0111,Electronics,L,1,INR,2886,Indore,Rajasthan,420186,India,No
112,ORD00112,CUST00112,Female,34,26-35,2024-02-07,February,Shipped,App,SKU0112,Electronics,M,4,INR,2113,Bhopal,Madhya Pradesh,177554,India,No
113,ORD00113,CUST00113,Male,36,36-50,2024-02-21,February,Shipped,App,SKU0113,Beauty,XL,3,INR,4042,Mumbai,Rajasthan,410642,India,No
114,ORD00114,CUST00114,Female,56,50+,2024-12-01,December,Shipped,Retail,SKU0114,Clothing,XL,5,INR,4806,Indore,Maharashtra,680544,India,No
115,ORD00115,CUST00115,Female,49,36-50,2024-09-08,September,Returned,Online,SKU0115,Beauty,L,1,INR,1994,Indore,Rajasthan,413873,India,Yes
116,ORD00116,CUST00116,Male,42,36-50,2024-07-17,July,Returned,Retail,SKU0116,Clothing,M,5,INR,2806,Bhopal,Madhya Pradesh,264563,India,No
117,ORD00117,CUST00117,Male,24,18-25,2024-09-15,September,Delivered,App,SKU0117,Electronics,S,5,INR,1537,Delhi,Madhya Pradesh,246909,India,No
118,ORD00118,CUST00118,Female,47,36-50,2024-04-09,April,Cancelled,Retail,SKU0118,Clothing,XL,3,INR,2474,Delhi,Maharashtra,750604,India,Yes
119,ORD00119,CUST00119,Female,47,36-50,2024-07-04,July,Cancelled,Retail,SKU0119,Clothing,L,5,INR,1538,Bhopal,Rajasthan,142302,India,Yes
